Pocket Name   ,             shelf         ,             column        ,             pocket        ,             diameter      ,             CurrentTool   ,             Status        ,             WorkPiece     ,             programNumber
101           ,              1            ,              1            ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
102           ,              1            ,              2            ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
103           ,              1            ,              3            ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
104           ,              1            ,              4            ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
105           ,              1            ,              5            ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
106           ,              1            ,              6            ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
107           ,              1            ,              7            ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
108           ,              1            ,              8            ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
109           ,              1            ,              9            ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
1010          ,              1            ,              10           ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
1011          ,              1            ,              11           ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
1012          ,              1            ,              12           ,              0            ,              5            ,              2            ,              3            ,              1 ,           1801 
201           ,              2            ,              1            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
202           ,              2            ,              2            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
203           ,              2            ,              3            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
204           ,              2            ,              4            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
205           ,              2            ,              5            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
206           ,              2            ,              6            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
207           ,              2            ,              7            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
208           ,              2            ,              8            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
209           ,              2            ,              9            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
2010          ,              2            ,              10           ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
2011          ,              2            ,              11           ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
2012          ,              2            ,              12           ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
301           ,              3            ,              1            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
302           ,              3            ,              2            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
303           ,              3            ,              3            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
304           ,              3            ,              4            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
305           ,              3            ,              5            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
306           ,              3            ,              6            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
307           ,              3            ,              7            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
308           ,              3            ,              8            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
309           ,              3            ,              9            ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
3010          ,              3            ,              10           ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
3011          ,              3            ,              11           ,              0            ,              5            ,              2            ,              2            ,              1 ,           1801 
3012          ,              3            ,              12           ,              0            ,              5            ,              2            ,              1            ,              1 ,           1801 
